,45.x,45.y,45.z,47.x,47.y,47.z,49.x,49.y,49.z
,-3.0,-56.0,-772.0,-116.0,-67.0,-120.0,256.0,-164.0,-60.0
,-12.0,-9.0,-121.0,-114.0,-96.0,-89.5,271.0,-130.0,-99.0
,3.0,-44.0,-128.0,-104.0,-85.0,-87.0,-6.0,-135.0,-50.0
,21.0,-39.0,-94.0,-108.0,-101.0,-102.0,271.0,-121.0,-74.0
,62.0,-83.0,-76.0,-97.0,360.0,-103.0,272.0,-95.0,-106.0
,47.0,-16.0,-36.0,-71.0,330.0,-95.0,318.0,-26.0,-105.0
,45.0,-19.0,-26.0,-67.0,327.0,-103.0,311.0,-14.0,-98.0
,70.0,-16.0,-50.0,-58.0,329.0,-95.0,292.0,-49.0,-1163.0
,74.0,-72.0,-25.0,-21.0,275.0,-1439.0,334.0,8.0,-54.0
,33.0,-12.0,-71.0,-101.0,358.0,-92.5,283.0,-68.0,-95.0
,53.0,-47.0,-37.0,-45.0,306.0,-90.0,310.0,34.0,-91.0
,-2.0,-18.0,-101.0,-87.0,-96.0,-1410.0,282.0,-138.0,-80.0
,32.0,-76.0,-81.0,-72.0,355.0,-108.0,280.0,-74.0,-64.0
,59.0,-64.0,-53.0,-81.0,341.0,-1420.0,293.0,-49.0,-93.0
,23.0,-42.0,-81.0,-93.5,-117.0,-109.0,287.0,-113.0,-82.0
,7.0,22.0,-49.0,-101.0,370.0,-62.0,-12.0,-64.0,-1194.0
,60.0,-8.0,-1242.0,-59.0,268.0,-100.0,305.0,21.0,-119.0
,61.0,-23.0,-1269.0,-48.0,278.0,-66.0,285.0,16.0,-122.0
,68.0,-72.0,-36.0,-44.0,329.0,-1409.0,303.0,-50.0,-60.0
,55.0,10.0,-1211.0,-55.5,-25.0,-82.0,299.0,45.0,-1159.0
,59.0,-55.0,-57.0,-75.0,336.0,-75.0,284.0,-69.0,-106.0
,38.0,-64.0,-90.0,-76.0,-63.0,-1425.0,284.0,-91.0,-64.0
